run_id,protocol,control_csv,test_date_iso,condition_id,material_category,base_material,filler_material,weld_process,current_a,voltage_v,heat_input_kj_mm,shielding_gas,preheat_c,spacer_mm,sheet_thickness_mm,k_factor,v_high_mm_s,v_step_mm_s,a_dec_mm_s2,weld_start_method,weld_start_time_s,manual_load_rise_time_s,manual_load_to_start_delay_s,fixed_start_time_s,load_rise_delta_n,load_baseline_window_s,weld_end_time_s,weld_travel_speed_mm_s,speed_transition_weld_length_mm,deceleration_start_weld_length_mm,l_weld_mm,l_crack_mm,l_surf_mm,l_ct_mm,l_star,v_nc_mm_s,crack_state,load_increase_acceptance,include_in_summary,show_temperature,temperature_columns,notes,source_run_id,campaign_folder,raw_xml
2025_12_30_TMCA__B6F5SL_18,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F5SL_18.csv,2025-12-30,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,3.6,,,0.6389954328741289,0.3,0.004534261776580304,manifest,4.6648974823,,,,,,,2.1,33.18,33.18,139.797,119.91999999999999,153.1,,,0.0441199814218337,,no,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F5SL_18,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F5SL_18.xml
2025_12_30_TMCA__B6F5SL_19,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F5SL_19.csv,2025-12-30,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,3.6,,,0.6389974382253402,0.3,0.004543601924967462,manifest,4.5946671355,,,,,,,2.1,33.348,33.348,139.81799999999998,112.35199999999999,145.7,,,0.061310349513939,,almost,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F5SL_19,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F5SL_19.xml
2025_12_30_TMCA__B6F5SL_20,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F5SL_20.csv,2025-12-30,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,3.6,,,0.5592109376211593,0.15,0.0022666892338572492,manifest,4.4443182313,,,,,,,2.1,40.677,40.677,139.692,91.82300000000001,132.5,,,0.0526985464904219,,yes,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F5SL_20,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F5SL_20.xml
2025_12_30_TMCA__B6F5SL_21,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F5SL_21.csv,2025-12-30,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,3.6,,,0.5592114034544258,0.15,0.002265850009050998,manifest,4.8084426379,,,,,,,2.1,39.9,39.9,139.713,89.5,129.4,,,0.0548818572599874,,yes,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F5SL_21,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F5SL_21.xml
2026_2_26_TMCA__B6F5SL_25,TMCA,data/control_csv/tmca_raw/2026_2_26_TMCA/B6F5SL_25.csv,2026-02-26,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,3.6,,,0.6389944756899829,0.3,0.0045240598984465025,manifest,4.8157612658,,,,,,,2.1,32.864999999999995,32.864999999999995,139.79700000000003,115.43500000000002,148.3,,,0.0539037043953029,,yes,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F5SL_25,2026_2_26_TMCA,raw_data/TMCA/2026_2_26_TMCA/B6F5SL_25.xml
2026_2_26_TMCA__B6F5SL_26,TMCA,data/control_csv/tmca_raw/2026_2_26_TMCA/B6F5SL_26.csv,2026-02-26,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,3.6,,,0.6390025107877907,0.3,0.004536558142477316,manifest,4.7315957706,,,,,,,2.1,33.053999999999995,33.053999999999995,139.671,114.14599999999999,147.2,,,0.0548702113649261,,almost,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F5SL_26,2026_2_26_TMCA,raw_data/TMCA/2026_2_26_TMCA/B6F5SL_26.xml
2026_2_26_TMCA__B6F5SL_3,TMCA,data/control_csv/tmca_raw/2026_2_26_TMCA/B6F5SL_3.csv,2026-03-03,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,3.6,,,0.6389971297471326,0.3,0.004532171732006803,manifest,5.0764794146,,,,,,,2.1,32.318999999999996,32.318999999999996,139.77600000000004,108.18100000000001,140.5,,,0.0671605694351392,,yes,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F5SL_3,2026_2_26_TMCA,raw_data/TMCA/2026_2_26_TMCA/B6F5SL_3.xml
2026_3_27_TMCA__B6F5SL_14,TMCA,data/control_csv/tmca_raw/2026_3_27_TMCA/B6F5SL_14.csv,2026-03-26,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,3.6,,,0.6390141956600264,0.15,0.004509284393047545,manifest,5.1156159274,,,,,,,2.1,32.235,32.235,139.776,109.06500000000001,141.3,,,0.065,,almost,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F5SL_14,2026_3_27_TMCA,raw_data/TMCA/2026_3_27_TMCA/B6F5SL_14.xml
2025_12_30_TMCA__B6F0SL_3,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F0SL_3.csv,2025-12-30,AA6061_Autogenous_160A,Aluminum alloy,AA6061,Autogenous,GTAW,160,,,Ar,,3.6,,,0.6389962470422642,0.3,0.004549432596623505,manifest,4.827077821,,,,,,,2.1,32.844,32.844,139.818,127.55600000000001,160.4,,,0.0271623401235154,,yes,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F0SL_3,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F0SL_3.xml
2025_12_30_TMCA__B6F0SL_4,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F0SL_4.csv,2025-12-30,AA6061_Autogenous_160A,Aluminum alloy,AA6061,Autogenous,GTAW,160,,,Ar,,3.6,,,0.638992377996954,0.3,0.004537082940516196,manifest,4.9996449445,,,,,,,2.1,32.487,32.487,139.73400000000004,126.513,159.0,,,0.0284893444320005,,almost,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F0SL_4,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F0SL_4.xml
2025_12_30_TMCA__B6F0SL_5,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F0SL_5.csv,2025-12-30,AA6061_Autogenous_160A,Aluminum alloy,AA6061,Autogenous,GTAW,160,,,Ar,,3.6,,,0.5963550243016428,0.2,0.003030831668251375,manifest,4.8533676482,,,,,,,2.1,36.33,36.33,139.608,122.67,159.0,,,0.0232227160586256,,no,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F0SL_5,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F0SL_5.xml
2025_12_30_TMCA__B6F0SL_6,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F0SL_6.csv,2025-12-30,AA6061_Autogenous_160A,Aluminum alloy,AA6061,Autogenous,GTAW,160,,,Ar,,3.6,,,0.4973011337352285,0.1,0.0015059105981676342,manifest,5.2109510194,,,,,,,2.1,46.074,46.074,139.608,96.926,143.0,,,0.0296426887352533,,yes,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F0SL_6,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F0SL_6.xml
2025_12_30_TMCA__B6F0SL_H_12,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F0SL_H_12.csv,2025-12-30,AA6061_Autogenous_160A,Aluminum alloy,AA6061,Autogenous,GTAW,160,,,Ar,,3.6,,,0.6390020456497477,0.3,0.00453050793498392,manifest,4.7731760102,,,,,,,2.1,32.949,32.949,139.79700000000003,126.75099999999999,159.7,,,0.0279697693446978,,no,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F0SL_H_12,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F0SL_H_12.xml
2025_12_30_TMCA__B6F0SL_H_13,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F0SL_H_13.csv,2025-12-30,AA6061_Autogenous_160A,Aluminum alloy,AA6061,Autogenous,GTAW,160,,,Ar,,3.6,,,0.6389955540628138,0.3,0.004534637945591728,manifest,4.8871716185,,,,,,,2.1,32.717999999999996,32.717999999999996,139.86,124.382,157.1,,,0.0322797251095087,,no,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F0SL_H_13,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F0SL_H_13.xml
2026_2_26_TMCA__B6F0SL_22,TMCA,data/control_csv/tmca_raw/2026_2_26_TMCA/B6F0SL_22.csv,2026-02-26,AA6061_Autogenous_160A,Aluminum alloy,AA6061,Autogenous,GTAW,160,,,Ar,,3.6,,,0.6390051469301247,0.3,0.004550767300813887,manifest,4.7522412418,,,,,,,2.1,32.991,32.991,139.79700000000003,131.839,164.83,,,0.0185319919112529,,no,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F0SL_22,2026_2_26_TMCA,raw_data/TMCA/2026_2_26_TMCA/B6F0SL_22.xml
2026_2_26_TMCA__B6F0SL_23,TMCA,data/control_csv/tmca_raw/2026_2_26_TMCA/B6F0SL_23.csv,2026-02-26,AA6061_Autogenous_160A,Aluminum alloy,AA6061,Autogenous,GTAW,160,,,Ar,,3.6,,,0.6389945906191316,0.3,0.004536024578646885,manifest,4.8004284505,,,,,,,2.1,32.907,32.907,139.73400000000004,129.69299999999998,162.6,,,0.0213714017669575,,no,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F0SL_23,2026_2_26_TMCA,raw_data/TMCA/2026_2_26_TMCA/B6F0SL_23.xml
2026_3_29_TMCA__B6F0SL_H_21,TMCA,data/control_csv/tmca_raw/2026_3_29_TMCA/B6F0SL_H_21.csv,2026-03-29,AA6061_Autogenous_160A,Aluminum alloy,AA6061,Autogenous,GTAW,160,,,Ar,,3.6,,,0.6390003402124054,0.3,0.004527622928704411,manifest,6.4051081149,,,,,,,2.1,29.526,29.526,139.776,126.37400000000001,155.9,,,0.0293275434656853,,almost,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F0SL_H_21,2026_3_29_TMCA,raw_data/TMCA/2026_3_29_TMCA/B6F0SL_H_21.xml
2026_3_29_TMCA__B6F0SL_H_22,TMCA,data/control_csv/tmca_raw/2026_3_29_TMCA/B6F0SL_H_22.csv,2026-03-29,AA6061_Autogenous_160A,Aluminum alloy,AA6061,Autogenous,GTAW,160,,,Ar,,3.6,,,0.6390061793437776,0.3,0.004526121896801098,manifest,6.1886884322,,,,,,,2.1,29.988,29.988,139.79700000000003,122.612,152.6,,,0.035375701049065,,almost,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F0SL_H_22,2026_3_29_TMCA,raw_data/TMCA/2026_3_29_TMCA/B6F0SL_H_22.xml
2026_3_29_TMCA__B6F0SL_20,TMCA,data/control_csv/tmca_raw/2026_3_29_TMCA/B6F0SL_20.csv,2026-03-30,AA6061_Autogenous_160A,Aluminum alloy,AA6061,Autogenous,GTAW,160,,,Ar,,3.6,,,0.638991281510973,0.3,0.004531280677092846,manifest,6.2654243098,,,,,,,2.1,29.82,29.82,139.77600000000004,123.35,153.17,,,0.038,,almost,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F0SL_20,2026_3_29_TMCA,raw_data/TMCA/2026_3_29_TMCA/B6F0SL_20.xml
2025_12_30_TMCA__B6F5SL_24,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F5SL_24.csv,2026-01-05,AA6061_ER5356_180A,Aluminum alloy,AA6061,ER5356,GTAW,180,,,Ar,,3.6,,,0.6389991970091817,0.3,0.0045079478616157345,manifest,4.8427796422,,,,,,,2.1,32.823,32.823,139.797,115.577,148.4,,,0.0531103423764445,,no,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F5SL_24,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F5SL_24.xml
2025_12_30_TMCA__B6F5SL_25,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F5SL_25.csv,2026-01-05,AA6061_ER5356_180A,Aluminum alloy,AA6061,ER5356,GTAW,180,,,Ar,,3.6,,,0.5592045274149141,0.15,0.0022598828330552385,manifest,5.543297678,,,,,,,2.1,38.388000000000005,38.388000000000005,139.69200000000004,95.81199999999998,134.2,,,0.0480175921421005,,no,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F5SL_25,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F5SL_25.xml
2025_12_30_TMCA__B6F5SL_26,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F5SL_26.csv,2026-01-05,AA6061_ER5356_180A,Aluminum alloy,AA6061,ER5356,GTAW,180,,,Ar,,3.6,,,0.5592123777041127,0.15,0.0022708675410977714,manifest,5.2458276155,,,,,,,2.1,38.976,38.976,139.734,102.16399999999999,141.14,,,0.0403531841090457,,almost,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F5SL_26,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F5SL_26.xml
2026_3_27_TMCA__B7F0SL_15,TMCA,data/control_csv/tmca_raw/2026_3_27_TMCA/B7F0SL_15.csv,2026-03-27,AA7075_Autogenous_160A,Aluminum alloy,AA7075,Autogenous,GTAW,160,,,Ar,,3.8,,,0.6390141399258696,0.3,0.004511906907176971,manifest,4.8799637097,,,,,,,2.1,32.739000000000004,32.739000000000004,139.67100000000002,118.161,150.9,,,0.047,,almost,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B7F0SL_15,2026_3_27_TMCA,raw_data/TMCA/2026_3_27_TMCA/B7F0SL_15.xml
2026_3_15_TMCA__B7F0SL_2,TMCA,data/control_csv/tmca_raw/2026_3_15_TMCA/B7F0SL_2.csv,2026-03-15,AA7075_Autogenous_180A,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,,4.0,,,0.6389957645672235,0.3,0.004514833075599268,manifest,4.6909599931,,,,,,,2.1,33.117,33.117,139.734,114.78300000000002,147.9,,,0.0544791742039699,,no,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B7F0SL_2,2026_3_15_TMCA,raw_data/TMCA/2026_3_15_TMCA/B7F0SL_2.xml
2025_12_30_TMCA__B7F0SL_27,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B7F0SL_27.csv,2026-01-05,AA7075_Autogenous_180A,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,,3.8,,,0.6390006378861034,0.3,0.004532690627034565,manifest,4.7239615133,,,,,,,2.1,33.075,33.075,139.73400000000004,117.825,150.9,,,0.0498275008804263,,no,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B7F0SL_27,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B7F0SL_27.xml
